i,s,window_id,xb,yb,zb,psi,xl,yl,zl,xr,yr,zr,h_l,h_r,clear_l,clear_r,left_contact,right_contact
23,0.6571428571428571,-1,2.6593134285714286,-2.2376554,0.8066773982360199,-1.8986733150875568,2.895995468112532,-2.318163860168255,0.04883497511512856,2.4226313890303253,-2.157146939831745,-0.02854171385504369,0.043834975115128565,-0.03354171385504369,0.0049999999999999975,0.005000000000000001,1,1
24,0.6857142857142857,-1,2.6565531428571427,-2.2457702,0.8102057580442101,-1.8986733150875077,2.89323518239825,-2.3262786601682435,0.052252869547605496,2.4198711033160354,-2.1652617398317564,-0.026194785143534124,0.0472528695476055,-0.031194785143534125,0.0049999999999999975,0.005000000000000001,1,1
25,0.7142857142857143,-1,2.6537928571428573,-2.253885,0.8137723481332442,-1.8986733150875568,2.8904748966839606,-2.334393460168255,0.05555653089663423,2.417110817601754,-2.173376539831745,-0.023755008227911757,0.050556530896634234,-0.028755008227911757,0.0049999999999999975,0.005000000000000001,1,1
26,0.7428571428571429,-1,2.6510325714285714,-2.2619998,0.817361747173941,-1.89867331508754,2.887714610969676,-2.342508260168251,0.05872542395572166,2.4143505318874667,-2.181491339831749,-0.021219487917851245,0.05372542395572166,-0.026219487917851246,0.0049999999999999975,0.005000000000000001,1,1
27,0.7714285714285715,-1,2.6482722857142855,-2.2701146000000003,0.8209574709798589,-1.8986733150875243,2.8849543252553915,-2.350623060168248,0.06174044217430765,2.4115902461731795,-2.189606139831753,-0.018586760116128403,0.056740442174307654,-0.023586760116128404,0.0049999999999999975,0.005000000000000001,1,1
28,0.8,-1,2.645512,-2.2782294,0.8245421847978371,-1.89867331508754,2.8821940395411048,-2.358737860168251,0.06458419358997092,2.4088299604588954,-2.1977209398317488,-0.015856882096649365,0.05958419358997091,-0.020856882096649366,0.0050000000000000044,0.005000000000000001,1,1
29,0.8285714285714286,-1,2.642751714285714,-2.2863442000000003,0.8280979332872683,-1.8986733150875734,2.879433753826816,-2.3668526601682593,0.06724125491538378,2.406069674744612,-2.205835739831741,-0.013031502522866004,0.06224125491538378,-0.018031502522866005,0.0050000000000000044,0.005000000000000001,1,1
30,0.8571428571428571,-1,2.6399914285714283,-2.294459,0.8316063848527635,-1.89867331508754,2.876673468112533,-2.374967460168251,0.06969838919608877,2.4033093890303237,-2.2139505398317487,-0.010113908394216796,0.06469838919608877,-0.015113908394216797,0.0050000000000000044,0.005000000000000001,1,1
31,0.8857142857142857,-1,2.6372311428571424,-2.3025738000000002,0.8350490865436004,-1.8986733150875568,2.873913182398246,-2.3830822601682553,0.07194472326474428,2.400549103316039,-2.222065339831745,-0.007109046490832286,0.06694472326474428,-0.012109046490832286,0.0050000000000000044,0.005,1,1
32,0.9142857142857143,-1,2.6344708571428566,-2.3106886,0.8384077253470776,-1.8986733150875243,2.8711528966839626,-2.3911970601682477,0.07397188211913706,2.3977888176017506,-2.2301801398317527,-0.004023517368548933,0.06897188211913706,-0.009023517368548933,0.0050000000000000044,0.005,1,1
33,0.9428571428571428,-1,2.631710571428571,-2.3188033999999997,0.841664391398699,-1.8986733150874908,2.86839261096968,-2.3993118601682393,0.0757740783194752,2.3950285318874625,-2.23829493983176,-0.0008655405256703611,0.0707740783194752,-0.005865540525670361,0.0050000000000000044,0.005,1,1
34,0.9714285714285714,-1,2.6289502857142857,-2.3269182,0.8448018384248925,-1.8986733150875568,2.865632325255389,-2.4074266601682552,0.07734815550621486,2.3922682461731823,-2.246409739831745,0.0023551099965235392,0.07234815550621486,-0.002644890003476461,0.0050000000000000044,0.005,1,1
35,1.0,-1,2.62619,-2.335033,0.8478037366360076,-1.8986733150875568,2.862872039541103,-2.415541460168255,0.07869358615406175,2.3895079604588965,-2.254524539831745,0.005627199623819663,0.07369358615406174,0.0006271996238196628,0.0050000000000000044,0.005,1,1
